test_size,epochs,nblayers,fake,r2,evs,mae,time
0.05,1,1,1,0.7348720834698538,0.7351597507608788,0.2752300485387495,0.6955516338348389
0.05,2,1,1,0.7533446660338825,0.75505736200702,0.23239474771474483,0.5744130611419678
0.05,3,1,1,0.7555103844178909,0.756520321406266,0.2215397934618359,0.6636381149291992
0.05,4,1,1,0.7560315691850321,0.7569051443553922,0.22446779990807586,0.7415697574615479
0.05,5,1,1,0.76135475465839,0.7618609305370155,0.21438005411613653,0.8427274227142334
0.05,6,1,1,0.7574263478937708,0.7582001620000453,0.22553647005834282,1.0397624969482422
0.05,7,1,1,0.7620608404093361,0.76252171515909,0.21329300232649306,1.0299887657165527
0.05,8,1,1,0.7567617512025382,0.756838970471911,0.22191072111231086,1.0947589874267578
0.05,9,1,1,0.7587998172261086,0.7606103757305694,0.21347587783546498,1.1853644847869873
0.05,10,1,1,0.7679243075548519,0.7703836696245241,0.21373825959962703,1.2753920555114746
0.05,11,1,1,0.7653858601398538,0.7666778274569929,0.21034226566424055,1.362736701965332
0.05,12,1,1,0.7628594753396069,0.7641404669359337,0.20896820967081578,1.4522700309753418
0.05,13,1,1,0.7631534274167922,0.7649795933891721,0.20713308235326414,1.533386468887329
0.05,14,1,1,0.7640774572596878,0.7658662996059235,0.20724236227484608,1.5925288200378418
0.05,15,1,1,0.767353447621974,0.7673536198211666,0.21363466108793466,1.8763887882232666
0.05,16,1,1,0.7592632690461851,0.7652358627112403,0.21292351883526392,1.8570852279663086
0.05,17,1,1,0.7688026044961302,0.7701371540045515,0.20786047874705488,1.9707999229431152
0.05,18,1,1,0.7666498249230247,0.7699099869940926,0.20664710167066883,2.0320451259613037
0.05,19,1,1,0.7641906968672157,0.7646474981566642,0.20514937568567712,2.2725110054016113
0.05,20,1,1,0.7656001888509616,0.768274372144504,0.20949617324281808,2.295088529586792
0.05,1,2,1,0.7386973114977923,0.7398627259585974,0.2589344145410105,0.5898439884185791
0.05,2,2,1,0.7542107522687181,0.7544422861781155,0.23808079855877995,0.6534423828125
0.05,3,2,1,0.7593716648916462,0.7594099633207754,0.22136913028237812,0.8154399394989014
0.05,4,2,1,0.7663021869991612,0.7690397301139318,0.21599254992161548,0.8636000156402588
0.05,5,2,1,0.7644587172019903,0.7658923279724673,0.2146691006230519,0.9004473686218262
0.05,6,2,1,0.7684345681424578,0.7684752230782063,0.21626970050093547,1.0151801109313965
0.05,7,2,1,0.7610356833457773,0.7627934196767541,0.2158351417355243,1.084519624710083
0.05,8,2,1,0.7644313655994625,0.766794846164094,0.21211894417269644,1.1864707469940186
0.05,9,2,1,0.7624831054070496,0.7630504015274862,0.21685284702879773,1.271347999572754
0.05,10,2,1,0.7659559130127722,0.7662728636911447,0.21098914950908879,1.3606619834899902
0.05,11,2,1,0.7620036425987166,0.7640798955553356,0.2121900056317437,1.5041353702545166
0.05,12,2,1,0.7643447391604268,0.7643717199784268,0.21228646565237627,1.714832067489624
0.05,13,2,1,0.7623308838483914,0.7652142926322556,0.20605551407112027,1.7045106887817383
