test_size,nbnn_train,epochs,nbnn_test,r2,evs,mae,mse,time
0.05,1,1,1,0.6249310296828114,0.6718310984106478,0.5492158603197123,0.4510973460896845,0.38129162788391113
0.05,1,1,2,0.7783082820047481,0.7835386114710179,0.4236371317302945,0.2666297495981845,0.38129162788391113
0.05,1,1,3,0.7580846626890086,0.7719277560420751,0.42729452196102846,0.29095279875349894,0.38129162788391113
0.05,1,1,4,0.7813550941117627,0.787397842777408,0.41510729447103406,0.26296533327937804,0.38129162788391113
0.05,1,1,5,0.8010203561701157,0.8038717874791592,0.38621636090869504,0.2393138232192971,0.38129162788391113
0.05,1,1,6,0.7752721731958624,0.7776413217666752,0.40915977891548555,0.2702812930062399,0.38129162788391113
0.05,1,1,7,0.7640810407074442,0.7680986496520216,0.4087549026833146,0.2837409246067806,0.38129162788391113
0.05,1,1,8,0.7669696930202288,0.7693691091478809,0.4013797690028206,0.2802667278717882,0.38129162788391113
0.05,1,1,9,0.7545316002713156,0.7573869991437276,0.4002770500591623,0.2952260848793997,0.38129162788391113
0.05,1,1,10,0.7755520852505693,0.7791446600960115,0.3828646610292965,0.26994464136345,0.38129162788391113
0.05,1,6,1,0.7150197617201675,0.7150643497817393,0.44714495400730986,0.34274717278617545,0.31604909896850586
0.05,1,6,2,0.8047683612567662,0.808526956377075,0.36510113166884933,0.2348060785602579,0.31604909896850586
0.05,1,6,3,0.8218387555116474,0.8219804152981232,0.35114003694103146,0.21427542912111755,0.31604909896850586
0.05,1,6,4,0.823433165208857,0.8253481856833362,0.34416196555739836,0.21235782452060187,0.31604909896850586
0.05,1,6,5,0.8164204645083493,0.8221089425056465,0.3367479199523182,0.220792035093247,0.31604909896850586
0.05,1,6,6,0.7959675499394702,0.8047508026267024,0.3540817991953678,0.24539085880830372,0.31604909896850586
0.05,1,6,7,0.8266032172684874,0.8331859482691418,0.3383278058753651,0.20854518688796578,0.31604909896850586
0.05,1,6,8,0.801541232576533,0.8122045051954228,0.3412751980285073,0.23868736253294154,0.31604909896850586
0.05,1,6,9,0.8191648998483276,0.8293112068099777,0.32767697001658025,0.21749128884027896,0.31604909896850586
0.05,1,6,10,0.8274693301106475,0.8352164400790619,0.31780754275822487,0.20750350859561797,0.31604909896850586
0.05,1,11,1,0.7914437596967977,0.7924067197222172,0.40935885012450884,0.25083164419508264,0.3083946704864502
0.05,1,11,2,0.880897898026561,0.8886062241157672,0.2831150043085548,0.14324469995074687,0.3083946704864502
0.05,1,11,3,0.8669718676704271,0.8687989625860009,0.30908001849718564,0.15999360703816567,0.3083946704864502
0.05,1,11,4,0.8624547178656103,0.8710087876844934,0.31420377815299805,0.16542640593677663,0.3083946704864502
0.05,1,11,5,0.836409204116378,0.8544262859442437,0.31196832776638234,0.1967514769494097,0.3083946704864502
0.05,1,11,6,0.8044934104470164,0.8286237481550142,0.34488927586721957,0.23513676328866515,0.3083946704864502
0.05,1,11,7,0.8317452494749289,0.8560491627335785,0.3375996017751369,0.20236083876694727,0.3083946704864502
0.05,1,11,8,0.8057865317428554,0.8413553342401155,0.3410061089547172,0.23358151977110161,0.3083946704864502
0.05,1,11,9,0.8099934233019245,0.8423995543057119,0.32660661476437586,0.22852187003260607,0.3083946704864502
0.05,1,11,10,0.8394681967920276,0.8645432530979944,0.2974606799191129,0.19307241099914907,0.3083946704864502
0.05,1,16,1,0.8067982547377448,0.8069996121350933,0.37368972384575744,0.2323647154121952,0.32125115394592285
0.05,1,16,2,0.8748624782619521,0.882254512604933,0.27680890158645455,0.15050352980289372,0.32125115394592285
0.05,1,16,3,0.8479429592358856,0.8491352967558634,0.31979022905742793,0.18287977137894296,0.32125115394592285
0.05,1,16,4,0.8396693140684199,0.8480519819937915,0.3279240880044088,0.19283052623444383,0.32125115394592285
0.05,1,16,5,0.8270433900186955,0.8440487914025228,0.3088475665635623,0.20801578889678576,0.32125115394592285
0.05,1,16,6,0.7937568072598435,0.8184860181891616,0.3343001014274416,0.2480497302015395,0.32125115394592285
0.05,1,16,7,0.8243140966764725,0.8488672924858883,0.3156364107679821,0.21129832379253005,0.32125115394592285
0.05,1,16,8,0.8090314841890621,0.8413975747644337,0.32273999799440506,0.22967879906500535,0.32125115394592285
0.05,1,16,9,0.828754837119454,0.860029261322631,0.29652215504270796,0.20595742281954893,0.32125115394592285
0.05,1,16,10,0.8459684430624257,0.8738745036294386,0.28855292977715097,0.1852545319593921,0.32125115394592285
0.05,1,21,1,0.7361387896024683,0.7494140101059529,0.4551522099566109,0.31734721122272386,0.35153722763061523
0.05,1,21,2,0.8204724318937727,0.8486303900677894,0.3659941323026144,0.2159187134413365,0.35153722763061523
0.05,1,21,3,0.8470600392359271,0.8558914664002397,0.3410020345481092,0.18394166372491313,0.35153722763061523
0.05,1,21,4,0.8359583717972034,0.8538693609022329,0.34651939847624663,0.19729369525805596,0.35153722763061523
0.05,1,21,5,0.8195251862645928,0.8492963256511197,0.32981185725366774,0.21705797054665443,0.35153722763061523
0.05,1,21,6,0.7775547898291886,0.8167907422396361,0.3651991895867584,0.2675359784456597,0.35153722763061523
0.05,1,21,7,0.7988685870517261,0.8371629716800798,0.349258776529514,0.24190176681239792,0.35153722763061523
0.05,1,21,8,0.7679038589133129,0.8192311649297266,0.36137139318239625,0.2791432018311738,0.35153722763061523
0.05,1,21,9,0.7752654536666285,0.8260361113987141,0.34633151783556576,0.27028937461800806,0.35153722763061523
0.05,1,21,10,0.7971158400047393,0.8428664637275074,0.3251000658889799,0.24400980454368137,0.35153722763061523
0.05,1,26,1,0.746846147704068,0.7542992663872196,0.41875406489686634,0.3044694175220646,0.3820028305053711
0.05,1,26,2,0.8285235671741148,0.8433724881354868,0.33083530366039626,0.20623557235157922,0.3820028305053711
0.05,1,26,3,0.8523543008558903,0.8568472199492353,0.3081828143062366,0.1775742285189292,0.3820028305053711
0.05,1,26,4,0.8630879383531781,0.8729255363117155,0.3058344114229145,0.16466482845626723,0.3820028305053711
0.05,1,26,5,0.8546478094121954,0.8723987592919341,0.29558761717378157,0.17481581418753747,0.3820028305053711
0.05,1,26,6,0.8430117087333432,0.8672668412450266,0.2971025422278544,0.18881061127945273,0.3820028305053711
0.05,1,26,7,0.8622530435949644,0.8855913949697148,0.27653309027707357,0.16566896060128555,0.3820028305053711
0.05,1,26,8,0.8366332850168455,0.8710290201208988,0.29752460042237494,0.19648197371797785,0.3820028305053711
0.05,1,26,9,0.8515605326039299,0.8825380250172923,0.2926123551145409,0.17852889760703516,0.3820028305053711
0.05,1,26,10,0.8667267750317577,0.8952125628340937,0.27722628454490916,0.1602883811933201,0.3820028305053711
0.05,1,31,1,0.6713331054525741,0.6724104166660134,0.511753042139412,0.39528933505883135,0.39664244651794434
0.05,1,31,2,0.8001932855145392,0.8049737060270611,0.40012703584972653,0.24030854527653298,0.39664244651794434
0.05,1,31,3,0.830591669883641,0.8305963995359905,0.35439772990256,0.2037482547712441,0.39664244651794434
