test_size,epochs,fake,r2,evs,mae,mse,time
0.05,1,1,0.4896874471899254,0.4931369589391308,0.5137120351139685,0.48967473934862893,0.6120679378509521
0.05,6,1,0.6105450258638621,0.6106031863295057,0.43132720521581647,0.3737048244218213,0.9037997722625732
0.05,11,1,0.6216570911605712,0.6217131486688967,0.4201912263146924,0.3630421478957824,1.328019380569458
0.05,16,1,0.6308126766417652,0.6308755358047429,0.4117602843313972,0.35425682817475973,1.7402269840240479
0.05,21,1,0.6270368941671416,0.6293633938504277,0.41070720217563017,0.35787991228060295,2.1980526447296143
0.05,26,1,0.6264973821892513,0.6323558603923787,0.41335482239815186,0.3583976055760042,2.6181254386901855
0.05,31,1,0.6434068097700977,0.64459597188454,0.40468335320686083,0.3421720208875807,3.0799436569213867
0.05,36,1,0.649803852450499,0.6507400361940361,0.401173502846185,0.33603368431349795,3.4659547805786133
0.05,41,1,0.64245866072223,0.6471199896132298,0.40417805125654505,0.3430818253502019,3.93294358253479
0.05,46,1,0.6417236074238397,0.6462798361603899,0.40813189400237926,0.34378715197858795,4.555371284484863
0.05,51,1,0.6381401857962494,0.6416265749531377,0.40167789164670437,0.34722565460174337,4.87829852104187
0.1,1,1,0.42473952030734785,0.4248191172244442,0.5653855945311855,0.5484746735519076,0.451275110244751
0.1,6,1,0.6269362827385512,0.6269837841690487,0.4246673377401312,0.3556927822477145,0.8763015270233154
0.1,11,1,0.6366768442793398,0.6375937176092871,0.4208476156515888,0.3464057696683858,1.2905895709991455
0.1,16,1,0.6452000111215451,0.6487480702999919,0.40689339787132184,0.33827946633897127,1.7141587734222412
0.1,21,1,0.6469995527672205,0.6470155026928155,0.4117976422158049,0.33656371660211776,2.1545445919036865
0.1,26,1,0.6441609845550924,0.6443415320955634,0.41028584959105563,0.33927011279733976,2.5735137462615967
0.1,31,1,0.6466124409161675,0.6466211769511173,0.41315324175506735,0.3369328033960652,3.0218863487243652
0.1,36,1,0.6582068419513422,0.6582762744508982,0.40234549519470664,0.3258782714974113,3.6696619987487793
0.1,41,1,0.6543755629533241,0.6552600408526952,0.4049645042262434,0.32953115496829904,3.894449472427368
0.1,46,1,0.6591167016429973,0.6594313578998396,0.4060907230278391,0.3250107775273315,4.306268215179443
0.1,51,1,0.6484770769558345,0.6530531209008625,0.40310087698320674,0.3351549902501041,4.735219240188599
0.15000000000000002,1,1,0.5407940336824293,0.544924319323713,0.4969323376449753,0.44590703161041984,0.4535048007965088
0.15000000000000002,6,1,0.6311101327524581,0.6323521771702403,0.42791286448943894,0.35820655165825377,0.8777639865875244
0.15000000000000002,11,1,0.6464348409898816,0.6466078306628023,0.4135686995482299,0.3433256579816252,1.3019726276397705
0.15000000000000002,16,1,0.6538733268580481,0.6547701471496246,0.415953477376117,0.3361025960084792,1.713280439376831
0.15000000000000002,21,1,0.6493694696830257,0.6500985356247201,0.4142885721748742,0.34047601824385737,2.102797269821167
0.15000000000000002,26,1,0.6552531180495207,0.6552869130366832,0.4080036661534112,0.3347627645612408,2.7764766216278076
0.15000000000000002,31,1,0.662698903808324,0.6633294620849403,0.4042818787223465,0.3275326141075357,2.983675479888916
0.15000000000000002,36,1,0.6641165436867038,0.6654111075957292,0.3996187732243919,0.3261560300985559,3.365900754928589
0.15000000000000002,41,1,0.6639544446879939,0.6641102421464504,0.40307649276223995,0.3263134345938009,3.8149402141571045
0.15000000000000002,46,1,0.6692642614895458,0.669292294406153,0.40143981394072004,0.3211573939017301,4.331966876983643
0.15000000000000002,51,1,0.6677938665893215,0.6680924115346737,0.3996482967009854,0.3225852051092193,4.632200717926025
0.2,1,1,0.5263764539986131,0.5287619721263025,0.5150298232781975,0.46957620325459454,0.4487588405609131
0.2,6,1,0.634003856833516,0.6344267574762321,0.430685986507075,0.36286852873957254,0.8758449554443359
0.2,11,1,0.6466785306265718,0.6472638137335578,0.4203323983520101,0.3503021661769812,1.2823066711425781
0.2,16,1,0.6501779259376747,0.6501796951046986,0.42025760356150416,0.3468326748948273,1.8998539447784424
0.2,21,1,0.6652069141247282,0.667071880599452,0.4051727900106489,0.3319321166957759,2.127904176712036
0.2,26,1,0.66245731894143,0.6627931022804847,0.40982875065656493,0.33465821525561507,2.5329408645629883
