test_size,epochs,fake,r2,evs,mae,mse,time
0.05,1,1,0.2591248564246629,0.2648054291696793,0.6420235477229618,0.685058520113704,0.642209529876709
0.05,6,1,0.42121858106179444,0.42370758481987203,0.5439129036518278,0.5351767376263692,0.9339988231658936
0.05,11,1,0.4738643540557852,0.47412446457304214,0.4973116092648473,0.48649723251642635,1.4715147018432617
0.05,16,1,0.4900948290856646,0.4901159122285318,0.4807263975336362,0.4714895415429459,1.8915143013000488
0.05,21,1,0.49389150405393667,0.495935522970236,0.483560170291334,0.4679789034041558,2.5790629386901855
0.05,26,1,0.4964043101178377,0.49862459139245363,0.486480613664508,0.4656554090631775,2.8056442737579346
0.05,31,1,0.519342814694451,0.5195435802115812,0.46689967345495387,0.4444450632510047,3.1955368518829346
0.05,36,1,0.5372478322593746,0.5416155583911342,0.44761139465649147,0.4278889877205949,3.5704119205474854
0.05,41,1,0.5565155117588154,0.5607258543591576,0.4364164006195698,0.41007291153235403,4.003079891204834
0.05,46,1,0.5916908945215958,0.5917624484097513,0.42251951960100004,0.37754759890867157,4.706682920455933
0.05,51,1,0.5234335862696692,0.5235787804257879,0.454361231600024,0.44066248538246094,4.97835898399353
0.1,1,1,0.20336220352253442,0.20403110443408778,0.6429738496811768,0.8081905942368808,0.4515266418457031
0.1,6,1,0.36996200411518787,0.3713406919937705,0.55412624760288,0.6391747724467441,0.8964881896972656
0.1,11,1,0.3870003403035376,0.38700167540341934,0.5254167241249514,0.621889347238753,1.3418843746185303
0.1,16,1,0.44102506596741464,0.4412348509549212,0.5084766394634629,0.5670811579577058,1.7587792873382568
0.1,21,1,0.4115352523357646,0.41153801405866697,0.5094085968530471,0.5969986312539559,2.186290979385376
0.1,26,1,0.44951688915798116,0.44958630254853027,0.486206256060721,0.5584661868116154,2.6121366024017334
0.1,31,1,0.4311157094751633,0.43204842133959365,0.4994995346642025,0.5771342193959026,3.033212900161743
0.1,36,1,0.4837769847000437,0.4842768105624936,0.47102682490101383,0.5237092532375566,3.6881930828094482
0.1,41,1,0.5132738127956511,0.513463236076797,0.4570294786927778,0.4937846637539764,3.9009311199188232
0.1,46,1,0.48219407810121295,0.48289946965441777,0.4696699852971986,0.5253151150613203,4.400043487548828
0.1,51,1,0.49440435246533676,0.49451319410881533,0.4605354020711267,0.5129277679661016,4.774101972579956
