test_size,epochs,fake,r2,evs,mae,mse,time
0.05,2,1,-0.026061715304518174,0.008071756572593292,0.7208212497362564,0.828380126048434,1.9111120700836182
0.05,12,1,0.4600819919963117,0.46186508388144243,0.48423530500457285,0.4358971208600022,0.9065806865692139
0.05,22,1,0.5740127631716052,0.574438542898396,0.43381254139372977,0.3439163119288601,0.9779398441314697
0.05,32,1,0.6340883961428004,0.634425577376111,0.39824147003463534,0.29541488197505983,1.3123891353607178
0.05,42,1,0.648759317480269,0.6499410163373756,0.3952947369045241,0.28357046805189534,1.6182270050048828
0.05,52,1,0.6615303748094459,0.6616439071268159,0.37326907544110327,0.27325988933882495,1.839839220046997
0.05,62,1,0.661336649351284,0.6620908134324007,0.3756737263709623,0.2734162915484164,2.363862991333008
0.05,72,1,0.7417441618421052,0.7418650866513593,0.3280419389475748,0.20850013266744752,2.5968480110168457
0.05,82,1,0.6954134205574035,0.6954187823057725,0.3514205872744593,0.24590476898988184,3.1117539405822754
0.05,92,1,0.6815058208729279,0.6827262147409172,0.3568036407170926,0.2571329232108372,3.1524083614349365
0.05,102,1,0.745913047926124,0.7466756341077125,0.32477154158996835,0.20513442636708526,3.476761817932129
0.05,112,1,0.7081666804394975,0.7099327172173739,0.35269742619629324,0.23560855885838689,3.987501859664917
0.05,122,1,0.7919560638229532,0.7919881594689899,0.2996431214899245,0.16796208210809904,4.335561513900757
0.05,132,1,0.7811856293529233,0.7831556345883243,0.28465471890858873,0.1766574790133737,4.330639362335205
0.05,142,1,0.8177049968360686,0.8181744845302719,0.2890212028642527,0.14717395206010594,4.549304485321045
0.05,152,1,0.7051063003822448,0.705847660473907,0.3540806749070063,0.2380793244856092,4.914680242538452
0.05,162,1,0.7614500557949185,0.764266202588202,0.324912329322767,0.19259078659884013,5.012784719467163
0.05,172,1,0.8105278442182945,0.8112407515906057,0.29797986984888986,0.15296835068301534,5.342849493026733
0.05,182,1,0.7990689213769528,0.8010030986735042,0.2902169798035372,0.16221959142819084,5.911128997802734
0.05,192,1,0.853240093616306,0.8558231881848605,0.25155484207626694,0.11848506569889894,6.187448501586914
0.05,202,1,0.7931923182271055,0.793570345448178,0.30054307582397544,0.16696400512709053,6.118535995483398
0.05,212,1,0.7716807136990089,0.7723984866327753,0.30825486162130367,0.1843311726226636,6.387409687042236
0.05,222,1,0.8514557249531327,0.8549343223473853,0.258437706352417,0.11992565695775678,6.7299113273620605
0.05,232,1,0.8705117794983332,0.8715294627409427,0.24656348744980594,0.10454095189500708,7.053529500961304
0.05,242,1,0.8269467474548573,0.8295498188602268,0.26045578200193964,0.1397127219719837,7.446336507797241
0.05,252,1,0.8699810001196426,0.8700020069534377,0.23976163431958178,0.10496947103967975,8.499096632003784
0.05,262,1,0.842833780941901,0.8470629485514185,0.27444972017933944,0.12688649270503638,8.407906293869019
0.05,272,1,0.9042245165816645,0.9043026196659064,0.2260765082467289,0.07732332845386805,8.229339122772217
0.05,282,1,0.8264921294073986,0.8303552799260503,0.26566099750463873,0.14007975306752166,8.469919204711914
