,density,TC,kVRH,gV,kV,gVRH,volume
paper60/DataGenerationScripts/data/datasets//SmallDataBase_aflow__agl_thermal_expansion_300K.pt,51.5 (9.0),68.4 (10.5),58.8 (11.4),72.5 (5.9),58.8 (11.4),79.1 (9.8),29.2 (8.4)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_glass4.pt,32.7 (10.5),48.0 (15.4),39.9 (9.2),45.8 (10.9),39.9 (9.2),50.3 (9.8),25.7 (8.1)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_castelli4.pt,51.5 (12.0),73.7 (9.8),61.4 (15.0),66.0 (10.1),61.4 (15.0),72.5 (8.8),28.1 (6.4)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_dielectric4.pt,55.6 (9.2),69.6 (12.6),63.4 (16.0),61.4 (4.3),63.4 (16.0),62.7 (11.4),24.6 (5.9)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_gap3.pt,55.0 (7.9),69.0 (10.0),64.7 (7.2),60.8 (7.2),64.7 (7.2),67.3 (10.6),29.2 (6.5)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_elasticity_log10(G_VRH)1.pt,53.2 (10.3),70.2 (7.9),62.7 (11.4),78.4 (10.2),62.7 (11.4),82.4 (14.4),31.6 (9.8)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_elasticity_log10(G_VRH)0.pt,53.2 (16.3),72.5 (7.8),62.7 (15.3),79.7 (8.4),62.7 (15.3),87.6 (8.0),31.0 (10.3)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_OQMD_Bandgap.pt,31.6 (9.8),55.0 (14.2),38.6 (10.6),51.0 (13.8),38.6 (10.6),52.3 (9.5),22.2 (8.6)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_aflow__ael_shear_modulus_vrh.pt,53.2 (6.7),77.8 (7.3),66.0 (11.3),76.5 (10.6),66.0 (11.3),80.4 (12.8),36.8 (7.9)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_castelli1.pt,52.6 (9.8),73.7 (8.7),67.3 (9.4),68.6 (9.3),67.3 (9.4),73.2 (11.8),29.2 (8.8)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_aflow__ael_bulk_modulus_vrh.pt,51.5 (5.1),70.8 (8.4),67.3 (12.2),69.9 (9.5),67.3 (12.2),73.2 (9.8),36.3 (8.1)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_gap0.pt,60.2 (10.9),63.7 (14.8),57.5 (11.7),61.4 (9.8),57.5 (11.7),71.9 (13.7),28.7 (8.8)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_e_form3.pt,57.9 (9.1),69.6 (13.9),58.2 (12.6),66.0 (9.2),58.2 (12.6),64.1 (9.5),22.8 (7.9)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_phonons2.pt,56.1 (12.1),69.6 (13.4),52.9 (9.3),61.4 (8.9),52.9 (9.3),70.6 (8.3),37.4 (9.3)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_is_metal4.pt,33.3 (12.6),45.0 (17.3),41.2 (10.2),56.2 (11.0),41.2 (10.2),51.6 (15.5),28.1 (10.5)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_glass2.pt,29.8 (9.5),49.1 (13.9),37.9 (12.2),48.4 (9.7),37.9 (12.2),51.0 (9.3),26.3 (9.1)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_castelli0.pt,50.9 (9.8),70.8 (6.5),64.7 (12.5),69.3 (7.7),64.7 (12.5),69.9 (10.4),25.7 (8.9)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_jdft2d4.pt,48.0 (8.9),60.2 (10.9),61.4 (11.8),60.1 (12.7),61.4 (11.8),66.0 (15.2),29.8 (10.5)
