,gVRH,kVRH,TC,volume,gV,kV,density
paper60/DataGenerationScripts/data/datasets//SmallDataBase_glass4.pt,5.23 (3.34),3.96 (2.14),0.71 (0.48),6.72 (2.66),5.06 (3.31),4.09 (2.24),3.46 (1.5)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_OQMD_Bandgap.pt,6.26 (4.27),5.82 (3.26),4.21 (4.2),5.98 (2.17),6.2 (4.33),5.85 (3.34),4.73 (2.03)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_phonons1.pt,2.41 (2.02),1.71 (1.32),0.53 (0.83),4.1 (1.32),2.43 (2.03),1.78 (1.32),1.93 (1.03)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_expt_is_metal3.pt,3.64 (3.13),2.91 (1.99),0.65 (0.4),4.79 (1.96),3.39 (3.12),2.91 (1.98),4.17 (2.22)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_elasticity_log10(K_VRH)2.pt,3.56 (3.7),1.75 (1.89),0.39 (0.36),5.18 (1.88),3.54 (3.75),1.8 (1.97),2.36 (1.25)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_aflow__energy_atom.pt,1.6 (1.71),0.76 (0.64),0.36 (0.33),4.77 (1.86),1.75 (1.85),0.75 (0.62),1.89 (1.72)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_aflow__ael_bulk_modulus_vrh.pt,1.57 (1.47),0.43 (0.42),0.28 (0.37),4.49 (1.79),1.54 (1.48),0.43 (0.41),1.85 (0.81)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_is_metal1.pt,3.83 (3.87),3.62 (3.24),0.71 (0.41),5.75 (1.75),3.94 (3.77),3.69 (3.34),2.45 (1.63)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_dielectric1.pt,4.09 (3.8),2.72 (2.46),0.59 (0.25),5.0 (2.19),4.07 (3.73),2.65 (2.48),1.6 (0.78)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_elasticity_log10(K_VRH)4.pt,3.26 (3.34),1.56 (1.74),0.28 (0.18),4.78 (1.84),3.26 (3.43),1.55 (1.72),2.71 (1.09)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_is_metal2.pt,2.9 (2.14),2.65 (1.42),1.1 (1.37),6.13 (2.4),2.93 (2.36),2.56 (1.32),3.28 (1.22)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_e_hull.pt,2.04 (1.53),1.48 (0.86),0.36 (0.29),5.71 (1.74),2.09 (1.58),1.49 (0.86),2.62 (1.19)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_glass3.pt,5.42 (4.26),3.86 (2.56),1.1 (0.98),6.31 (2.07),5.27 (4.16),3.95 (2.45),3.33 (1.1)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_gap0.pt,4.31 (4.18),2.78 (2.43),0.53 (0.39),5.42 (2.02),4.16 (4.06),2.87 (2.54),1.64 (1.1)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_e_form3.pt,3.92 (3.78),2.59 (1.98),0.55 (0.62),5.34 (2.02),3.77 (3.72),2.64 (2.09),2.9 (3.39)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_castelli1.pt,2.26 (2.28),1.31 (1.12),0.26 (0.22),3.73 (1.23),2.27 (2.37),1.34 (1.19),1.63 (0.65)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_e_form0.pt,4.66 (4.55),2.99 (2.52),0.45 (0.4),5.54 (2.29),4.48 (4.53),3.02 (2.55),2.9 (3.29)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_castelli3.pt,2.49 (2.12),1.88 (1.36),0.25 (0.25),3.91 (1.5),2.48 (2.17),1.88 (1.36),1.58 (0.77)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_dielectric2.pt,6.37 (6.08),4.81 (4.7),0.52 (0.48),4.55 (1.95),6.38 (6.17),4.79 (4.79),1.56 (0.86)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_expt_gap3.pt,6.12 (5.35),6.01 (4.1),0.75 (0.47),5.36 (2.0),6.2 (5.4),5.96 (4.12),2.38 (1.41)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_dielectric0.pt,4.28 (4.25),3.15 (3.1),0.38 (0.24),5.2 (1.82),4.26 (4.3),3.2 (3.17),1.78 (0.87)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_elasticity_log10(K_VRH)0.pt,2.72 (2.75),1.66 (1.74),0.51 (0.36),5.0 (1.79),2.54 (2.66),1.72 (1.81),2.28 (1.03)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_steels_yield3.pt,2.66 (2.43),1.49 (1.04),0.31 (0.26),5.49 (2.28),2.57 (2.36),1.58 (1.07),1.83 (0.87)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_mp_gap2.pt,3.8 (3.52),2.78 (2.34),0.78 (0.55),5.24 (1.81),3.77 (3.48),2.72 (2.26),1.49 (0.77)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_elasticity_log10(G_VRH)4.pt,2.48 (2.53),1.66 (1.3),0.25 (0.28),5.32 (1.68),2.49 (2.61),1.64 (1.31),2.95 (1.97)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_expt_is_metal0.pt,3.4 (3.58),2.45 (2.05),0.41 (0.4),4.37 (1.67),3.26 (3.62),2.47 (2.14),2.05 (0.78)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_expt_is_metal4.pt,3.68 (3.21),3.06 (1.96),0.56 (0.61),4.49 (1.54),3.79 (3.49),3.03 (1.97),3.91 (2.13)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_expt_is_metal2.pt,3.0 (3.15),1.73 (1.58),0.59 (0.41),5.44 (2.55),2.74 (3.11),1.82 (1.53),3.89 (2.11)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_steels_yield2.pt,3.41 (3.08),1.98 (1.34),0.48 (0.29),5.27 (2.13),3.37 (3.03),1.86 (1.3),2.56 (1.66)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_phonons2.pt,2.64 (2.23),1.62 (1.2),1.51 (1.65),4.25 (1.28),2.7 (2.23),1.62 (1.23),2.39 (1.25)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_elasticity_log10(G_VRH)3.pt,2.96 (3.29),1.98 (1.91),0.29 (0.29),5.73 (1.85),2.94 (3.34),2.04 (1.99),2.35 (1.25)
paper60/DataGenerationScripts/data/datasets//SmallDataBase_expt_gap1.pt,6.47 (5.38),5.38 (3.76),0.78 (0.56),5.0 (2.0),6.24 (5.27),5.34 (3.79),2.5 (1.39)
