test_size,epochs,nblayers,r2,evs,mae,time
0.05,1,1,0.8998283662577405,0.8999072856917529,0.2100743861911283,0.7703902721405029
0.05,2,1,0.9572120013060512,0.958416954887178,0.15808787314817527,0.6206812858581543
0.05,3,1,0.9649317655974542,0.9650076169292754,0.14110826001406138,0.6815435886383057
0.05,4,1,0.9623707427147312,0.9626022170888537,0.143827951635831,0.7622742652893066
0.05,5,1,0.9684452290820401,0.9684545268867306,0.13592186769395817,0.9393925666809082
0.05,6,1,0.9682680327250051,0.9682813857728017,0.13408484740635748,0.8535840511322021
0.05,7,1,0.9673319443101174,0.9674992726325773,0.13392437149186262,0.9064266681671143
0.05,8,1,0.965231760621287,0.9663526367831965,0.14309072592333993,0.9537274837493896
0.05,9,1,0.9695674911588111,0.9695679667989652,0.13095295104772073,1.0594942569732666
0.05,10,1,0.9697207955553918,0.96987966764191,0.1297341436495103,1.0678155422210693
0.05,11,1,0.9708419490491791,0.9710259419695965,0.12778687998563512,1.121842384338379
0.05,12,1,0.9717106226890792,0.9717915646293298,0.1276102893857553,1.2362101078033447
0.05,13,1,0.9728196840877417,0.9730498706417864,0.12516940284946074,1.220505714416504
0.05,14,1,0.9690824621128115,0.9702839614243439,0.13719996527561448,1.491321325302124
0.05,15,1,0.9695016537825687,0.9709184251589705,0.13521931034261964,1.365382432937622
0.05,16,1,0.9723137342164564,0.9723324853883748,0.12498256861936145,1.4083247184753418
0.05,17,1,0.9717459201008903,0.9719310947607401,0.12457688833610905,1.4489519596099854
0.05,18,1,0.9721267549609357,0.9723275449498261,0.12670484985005168,1.570749044418335
0.05,19,1,0.9730900413847319,0.9731878345125664,0.12471239914991442,1.5924749374389648
0.05,20,1,0.9703674207366026,0.9722890981035214,0.12652555591576883,1.6178042888641357
0.05,21,1,0.9710653320943288,0.9711902866575807,0.1256240756402977,1.7036199569702148
0.05,22,1,0.974172650209225,0.9742058616874606,0.12115259980307574,1.7680256366729736
0.05,23,1,0.9736635498906768,0.9736941248433645,0.12358530596032205,1.9969298839569092
0.05,24,1,0.9718123400713923,0.9718872928675728,0.12575652045511773,1.8701269626617432
0.05,25,1,0.9715356145638638,0.97180742845668,0.12534911438494262,1.9782764911651611
0.05,26,1,0.9717789243259226,0.9736157813721485,0.12375573205387883,2.01540207862854
0.05,27,1,0.97299243422423,0.973341754524497,0.12529430473792277,2.009073257446289
0.05,28,1,0.9737329719379796,0.9737332877500718,0.12363994429286179,2.058927536010742
0.05,29,1,0.9742711145481585,0.9742712268769224,0.12223073807413348,2.1765525341033936
0.05,30,1,0.9749635197890874,0.9749653702837527,0.11916464889937296,2.1985344886779785
0.05,1,2,0.8810456119032685,0.8810920640415135,0.2392783469827812,0.611713171005249
0.05,2,2,0.9499918352194014,0.950292288699483,0.1623388926873666,0.8580691814422607
0.05,3,2,0.9615245133402015,0.9617414412301504,0.15110423752005478,0.7057578563690186
0.05,4,2,0.959721790277332,0.9602110312497235,0.1543521055103769,0.7605752944946289
0.05,5,2,0.963998093386403,0.9643947707761077,0.14056919775748053,0.8492021560668945
0.05,6,2,0.9682832653137673,0.9682872323592704,0.13235040143332966,0.9097452163696289
0.05,7,2,0.9680398723918267,0.9682577896425354,0.13408530553849404,0.9727346897125244
0.05,8,2,0.9701577523322733,0.9701636300880525,0.12772422089024077,1.045130968093872
0.05,9,2,0.9718129677757789,0.9719161151084447,0.13115975225887064,1.0736486911773682
0.05,10,2,0.9712367386476023,0.9712389685595212,0.1286263916558808,1.37626051902771
0.05,11,2,0.9704543418250348,0.970515472725577,0.12610200512395991,1.26936674118042
0.05,12,2,0.9713726023342251,0.9714791885971548,0.12591798414243538,1.2534058094024658
0.05,13,2,0.9703777301118521,0.9715734055313056,0.12657577942934972,1.3294472694396973
0.05,14,2,0.9725883221543716,0.9727337863634827,0.12463687555611465,1.3956377506256104
0.05,15,2,0.9719869242636774,0.9726173242082743,0.12560549952208935,1.420506477355957
0.05,16,2,0.9704629963646485,0.9706145222578803,0.1278954866301407,1.5104799270629883
0.05,17,2,0.9740113208383397,0.9740223771973846,0.12354391654462157,1.5766911506652832
