,test_size,epochs,nblayers,r2,evs,mae,time,fake
0,0.05,1,1,0.8998283662577405,0.8999072856917529,0.2100743861911283,0.7703902721405029,
1,0.05,2,1,0.9572120013060512,0.958416954887178,0.1580878731481752,0.6206812858581543,
2,0.05,3,1,0.9649317655974542,0.9650076169292754,0.1411082600140613,0.6815435886383057,
3,0.05,4,1,0.9623707427147312,0.9626022170888536,0.143827951635831,0.7622742652893066,
4,0.05,5,1,0.96844522908204,0.9684545268867306,0.1359218676939581,0.9393925666809082,
5,0.05,6,1,0.9682680327250052,0.9682813857728017,0.1340848474063574,0.8535840511322021,
6,0.05,7,1,0.9673319443101174,0.9674992726325772,0.1339243714918626,0.9064266681671144,
7,0.05,8,1,0.965231760621287,0.9663526367831964,0.1430907259233399,0.9537274837493896,
8,0.05,9,1,0.9695674911588112,0.9695679667989652,0.1309529510477207,1.0594942569732666,
9,0.05,10,1,0.9697207955553918,0.96987966764191,0.1297341436495103,1.0678155422210691,
10,0.05,11,1,0.9708419490491792,0.9710259419695964,0.1277868799856351,1.121842384338379,
11,0.05,12,1,0.9717106226890792,0.9717915646293298,0.1276102893857553,1.2362101078033447,
12,0.05,13,1,0.9728196840877416,0.9730498706417864,0.1251694028494607,1.220505714416504,
13,0.05,14,1,0.9690824621128116,0.970283961424344,0.1371999652756144,1.491321325302124,
14,0.05,15,1,0.9695016537825688,0.9709184251589704,0.1352193103426196,1.365382432937622,
15,0.05,16,1,0.9723137342164564,0.9723324853883748,0.1249825686193614,1.4083247184753418,
16,0.05,17,1,0.9717459201008904,0.97193109476074,0.124576888336109,1.4489519596099854,
17,0.05,18,1,0.9721267549609356,0.972327544949826,0.1267048498500516,1.570749044418335,
18,0.05,19,1,0.973090041384732,0.9731878345125664,0.1247123991499144,1.5924749374389648,
19,0.05,20,1,0.9703674207366026,0.9722890981035214,0.1265255559157688,1.6178042888641355,
20,0.05,21,1,0.9710653320943288,0.9711902866575808,0.1256240756402977,1.7036199569702148,
21,0.05,22,1,0.974172650209225,0.9742058616874606,0.1211525998030757,1.7680256366729736,
22,0.05,23,1,0.9736635498906768,0.9736941248433644,0.123585305960322,1.9969298839569087,
23,0.05,24,1,0.9718123400713924,0.9718872928675728,0.1257565204551177,1.8701269626617432,
24,0.05,25,1,0.9715356145638638,0.97180742845668,0.1253491143849426,1.978276491165161,
25,0.05,26,1,0.9717789243259226,0.9736157813721484,0.1237557320538788,2.01540207862854,
26,0.05,27,1,0.97299243422423,0.973341754524497,0.1252943047379227,2.009073257446289,
27,0.05,28,1,0.9737329719379796,0.9737332877500718,0.1236399442928617,2.058927536010742,
28,0.05,29,1,0.9742711145481584,0.9742712268769224,0.1222307380741334,2.1765525341033936,
29,0.05,30,1,0.9749635197890874,0.9749653702837529,0.1191646488993729,2.1985344886779785,
30,0.05,1,2,0.8810456119032685,0.8810920640415135,0.2392783469827812,0.611713171005249,
31,0.05,2,2,0.9499918352194014,0.950292288699483,0.1623388926873666,0.8580691814422607,
32,0.05,3,2,0.9615245133402016,0.9617414412301504,0.1511042375200547,0.7057578563690186,
33,0.05,4,2,0.959721790277332,0.9602110312497236,0.1543521055103769,0.7605752944946289,
34,0.05,5,2,0.963998093386403,0.9643947707761076,0.1405691977574805,0.8492021560668945,
35,0.05,6,2,0.9682832653137672,0.9682872323592704,0.1323504014333296,0.9097452163696288,
36,0.05,7,2,0.9680398723918268,0.9682577896425354,0.134085305538494,0.9727346897125244,
37,0.05,8,2,0.9701577523322732,0.9701636300880524,0.1277242208902407,1.045130968093872,
38,0.05,9,2,0.9718129677757787,0.9719161151084448,0.1311597522588706,1.0736486911773682,
39,0.05,10,2,0.9712367386476024,0.9712389685595212,0.1286263916558808,1.37626051902771,
40,0.05,11,2,0.9704543418250348,0.970515472725577,0.1261020051239599,1.26936674118042,
41,0.05,12,2,0.9713726023342252,0.9714791885971548,0.1259179841424353,1.2534058094024658,
42,0.05,13,2,0.970377730111852,0.9715734055313056,0.1265757794293497,1.3294472694396973,
43,0.05,14,2,0.9725883221543716,0.9727337863634828,0.1246368755561146,1.3956377506256104,
44,0.05,15,2,0.9719869242636774,0.9726173242082744,0.1256054995220893,1.420506477355957,
45,0.05,16,2,0.9704629963646484,0.9706145222578804,0.1278954866301407,1.5104799270629885,
46,0.05,17,2,0.9740113208383396,0.9740223771973846,0.1235439165446215,1.5766911506652832,
47,0.05,18,2,0.9683959903829684,0.9684396882610994,0.1262227425383305,1.8179070949554443,
48,0.05,19,2,0.9733891693359508,0.9733910975349522,0.1218142427646048,1.6979751586914062,
49,0.05,20,2,0.973530997277852,0.97395120218218,0.1245647293974719,1.739499568939209,
50,0.05,21,2,0.9732633790431052,0.9735471812505676,0.1237520437487833,1.8181023597717283,
51,0.05,22,2,0.9738454807594128,0.9749290510472426,0.1227977964188169,1.850245714187622,
52,0.05,23,2,0.973641364353301,0.974702395107942,0.1202253387499699,1.9137351512908936,
53,0.05,24,2,0.9744089052286616,0.9744620315733424,0.1199869554534195,1.9971559047698972,
54,0.05,25,2,0.973943218480088,0.97395250427483,0.1225762828628984,2.052493095397949,
55,0.05,26,2,0.9718636375596852,0.9722749687165944,0.1254373294589287,2.296040296554565,
56,0.05,27,2,0.9738474653096172,0.9745973740633485,0.1219403561152451,2.181072235107422,
57,0.05,28,2,0.9739179329987828,0.9748276801771514,0.1199732055057597,2.2310593128204346,
58,0.05,29,2,0.9726811230460845,0.9730454776309656,0.1236559282526627,2.2668135166168213,
59,0.05,30,2,0.9717272659717906,0.9717754242934756,0.1272860014776412,2.3307487964630127,
60,0.05,1,3,0.9049931465759902,0.9050015648587626,0.218536919494331,0.6664795875549316,
61,0.05,2,3,0.9398340269452627,0.940628255131316,0.1850191373009163,0.7090499401092529,
62,0.05,3,3,0.9644336058096518,0.9649120098614749,0.1369515470577072,0.7878334522247314,
63,0.05,4,3,0.966801097595574,0.9668099734325276,0.135127066512978,1.0469491481781006,
64,0.05,5,3,0.96412110523358,0.9648194267637248,0.1365776460168431,0.905576467514038,
65,0.05,6,3,0.9666009043989556,0.9671641637879403,0.1336162616964997,0.9557344913482666,
66,0.05,7,3,0.9673699283701452,0.9686837968480124,0.1368497969008384,1.048348903656006,
67,0.05,8,3,0.9670172659540492,0.9677250862199736,0.1380158859687932,1.0586347579956057,
68,0.05,9,3,0.969299409605754,0.969798358663826,0.1336292451635438,1.16829252243042,
69,0.05,10,3,0.9741329142998176,0.9744070655191988,0.1213122431829592,1.1789932250976562,
70,0.05,11,3,0.9719039913132352,0.9721928929456576,0.1289797154290234,1.262876272201538,
71,0.05,12,3,0.969221581739058,0.971049443140702,0.1299731722182916,1.52109956741333,
72,0.05,13,3,0.9701081370197396,0.9701183846610836,0.1276224237370904,1.4725806713104248,
73,0.05,14,3,0.97249081456023,0.973062152409847,0.126957440711432,1.4606831073760986,
74,0.05,15,3,0.9732773812975344,0.9737208543112252,0.1254737101724486,1.50201416015625,
75,0.05,16,3,0.9733151726273992,0.9734142077606294,0.1224697669630606,1.577260971069336,
76,0.05,17,3,0.9727434297260134,0.9727768370692412,0.1243037060155487,1.6212573051452637,
77,0.05,18,3,0.9749031375523473,0.9750259396835738,0.1193337565699047,1.6410377025604248,
78,0.05,19,3,0.9730267830097292,0.9730284288676936,0.1221392607888184,1.75679349899292,
79,0.05,20,3,0.9719280251873206,0.9732427769519124,0.1275335891745401,2.0222902297973637,
80,0.05,21,3,0.9724623447675288,0.973623792341697,0.1264802317640112,1.9181993007659912,
81,0.05,22,3,0.973324833656624,0.973623305347483,0.1223865999326307,1.9557528495788572,
82,0.05,23,3,0.9739234990458616,0.9746666330795896,0.1266911995017251,2.010383367538452,
83,0.05,24,3,0.9726526764649256,0.9727117235935646,0.1276267525388401,2.070819854736328,
84,0.05,25,3,0.9727832861399762,0.9728532780718664,0.1222833401196612,2.1413168907165527,
85,0.05,26,3,0.9737203393645996,0.9738089396420024,0.1222409884186918,2.2027177810668945,
86,0.05,27,3,0.9733276212250318,0.9739926491846276,0.1281273181114471,2.5297164916992188,
87,0.05,28,3,0.9714021091285432,0.974141440950086,0.1240413462980706,2.3244075775146484,
88,0.05,29,3,0.9731027139529512,0.974511875387551,0.1273994290162007,2.432118654251098,
89,0.05,30,3,0.97368585891477,0.9739591480034074,0.1254767497250068,2.4435760974884038,
90,0.1,1,1,0.890034972940168,0.8903005289328253,0.2145080560069102,0.5855484008789062,
91,0.1,2,1,0.942428376021264,0.9427334400662696,0.1699619799484897,0.6011321544647217,
92,0.1,3,1,0.9512214669737548,0.9512364033425847,0.1520391985212599,0.6987948417663574,
93,0.1,4,1,0.952552055556893,0.9525986696825052,0.1501458450297417,0.7151222229003906,
94,0.1,5,1,0.9573818814888696,0.957735315963586,0.1406080499558591,0.7751963138580322,
95,0.1,6,1,0.9582424891065724,0.9582462530065472,0.1373587581010584,1.0628485679626465,
96,0.1,7,1,0.957240830901502,0.9593752376050794,0.1438150519976679,0.8944032192230225,
97,0.1,8,1,0.9617182077450076,0.961740015147754,0.1322901915421166,0.9895145893096924,
98,0.1,9,1,0.9634284970852792,0.9634404226229492,0.1315520405321799,1.0331027507781982,
99,0.1,10,1,0.96303441569918,0.9632072447129536,0.1304041553990323,1.0634870529174805,
100,0.1,11,1,0.9622319427870988,0.962231982095529,0.1295603623506177,1.1754798889160156,
101,0.1,12,1,0.96495436731482,0.9650372594969368,0.1247268421098893,1.1704964637756348,
102,0.1,13,1,0.964779054541869,0.9648090343434138,0.1268986315610026,1.1988134384155271,
103,0.1,14,1,0.964857614914164,0.9648784414914384,0.1274089539782872,1.4501338005065918,
104,0.1,15,1,0.9646262431924776,0.9654873346035766,0.1276840095751255,1.3602910041809082,
105,0.1,16,1,0.9637408866109288,0.963822604967955,0.1288502895879086,1.4439702033996582,
106,0.1,17,1,0.9673390896933516,0.9674770919767368,0.1234974651486647,1.490140438079834,
107,0.1,18,1,0.9669053595666012,0.9669597177594744,0.1219935329629157,1.5114901065826416,
108,0.1,19,1,0.9669198724593407,0.9674656732077962,0.1244316323494465,1.5713496208190918,
109,0.1,20,1,0.9678911732517956,0.9680000844849392,0.1228310242278849,1.6109607219696045,
110,0.1,21,1,0.966079164208398,0.966423436680446,0.1267235641646147,1.687406063079834,
111,0.1,22,1,0.9672744554117904,0.9672947644520524,0.1220482800422561,1.812274694442749,
112,0.1,23,1,0.9680875664934626,0.9681696762870282,0.1200354635897967,2.0085082054138184,
113,0.1,24,1,0.9672943414173074,0.9673610654125692,0.1222153932492222,1.8376257419586184,
114,0.1,25,1,0.9605438886390272,0.9625222266064486,0.1306858515995444,1.939198017120361,
115,0.1,26,1,0.9671017714113296,0.9672664004666232,0.124733128430345,1.9739844799041748,
116,0.1,27,1,0.965941151563559,0.9669823308334636,0.1243943324075966,2.007880210876465,
