fake,index_size,pc_dims,k,pc_ret,indexing,retrieval
1,5000,0.25,1,5000,0.0009379386901855469,0.05911111831665039
1,5000,0.25,1,10000,0.0009379386901855469,0.11135220527648926
1,5000,0.25,1,15000,0.0009379386901855469,0.16916441917419434
1,5000,0.25,1,20000,0.0009379386901855469,0.23819780349731445
1,5000,0.25,1,25000,0.0009379386901855469,0.2804567813873291
1,5000,0.25,1,30000,0.0009379386901855469,0.3461470603942871
1,10000,0.25,1,5000,0.0018677711486816406,0.11755609512329102
1,10000,0.25,1,10000,0.0018677711486816406,0.22420001029968262
1,10000,0.25,1,15000,0.0018677711486816406,0.33504319190979004
1,10000,0.25,1,20000,0.0018677711486816406,0.4387986660003662
1,10000,0.25,1,25000,0.0018677711486816406,0.5475318431854248
1,10000,0.25,1,30000,0.0018677711486816406,0.656761884689331
1,15000,0.25,1,5000,0.002949953079223633,0.1714484691619873
1,15000,0.25,1,10000,0.002949953079223633,0.33251500129699707
1,15000,0.25,1,15000,0.002949953079223633,0.49866318702697754
1,15000,0.25,1,20000,0.002949953079223633,0.6423206329345703
1,15000,0.25,1,25000,0.002949953079223633,0.8026022911071777
1,15000,0.25,1,30000,0.002949953079223633,0.976161003112793
1,20000,0.25,1,5000,0.0021524429321289062,0.2345585823059082
1,20000,0.25,1,10000,0.0021524429321289062,0.4486534595489502
1,20000,0.25,1,15000,0.0021524429321289062,0.6703016757965088
1,20000,0.25,1,20000,0.0021524429321289062,0.8820266723632812
1,20000,0.25,1,25000,0.0021524429321289062,1.1008095741271973
1,20000,0.25,1,30000,0.0021524429321289062,1.3204445838928223
1,25000,0.25,1,5000,0.010260581970214844,0.2776923179626465
1,25000,0.25,1,10000,0.010260581970214844,0.543748140335083
1,25000,0.25,1,15000,0.010260581970214844,0.8323373794555664
1,25000,0.25,1,20000,0.010260581970214844,1.0842106342315674
1,25000,0.25,1,25000,0.010260581970214844,1.3534908294677734
1,25000,0.25,1,30000,0.010260581970214844,1.5959339141845703
1,30000,0.25,1,5000,0.009567975997924805,0.33980703353881836
1,30000,0.25,1,10000,0.009567975997924805,0.6603443622589111
1,30000,0.25,1,15000,0.009567975997924805,0.9699761867523193
1,30000,0.25,1,20000,0.009567975997924805,1.3221518993377686
1,30000,0.25,1,25000,0.009567975997924805,1.6602106094360352
1,30000,0.25,1,30000,0.009567975997924805,2.001614809036255
1,35000,0.25,1,5000,0.013020992279052734,0.38257527351379395
1,35000,0.25,1,10000,0.013020992279052734,0.7807586193084717
1,35000,0.25,1,15000,0.013020992279052734,1.1804397106170654
1,35000,0.25,1,20000,0.013020992279052734,1.538543939590454
1,35000,0.25,1,25000,0.013020992279052734,1.9324617385864258
1,35000,0.25,1,30000,0.013020992279052734,2.3285200595855713
1,40000,0.25,1,5000,0.013872385025024414,0.4470255374908447
1,40000,0.25,1,10000,0.013872385025024414,0.8757083415985107
1,40000,0.25,1,15000,0.013872385025024414,1.2907450199127197
1,40000,0.25,1,20000,0.013872385025024414,1.6871302127838135
1,40000,0.25,1,25000,0.013872385025024414,2.115658760070801
1,40000,0.25,1,30000,0.013872385025024414,2.6552042961120605
1,45000,0.25,1,5000,0.011115789413452148,0.527127742767334
1,45000,0.25,1,10000,0.011115789413452148,1.0102996826171875
1,45000,0.25,1,15000,0.011115789413452148,1.5174469947814941
1,45000,0.25,1,20000,0.011115789413452148,1.9866290092468262
1,45000,0.25,1,25000,0.011115789413452148,2.449800729751587
1,45000,0.25,1,30000,0.011115789413452148,2.95841646194458
1,50000,0.25,1,5000,0.021896839141845703,0.5558509826660156
1,50000,0.25,1,10000,0.021896839141845703,1.0825984477996826
1,50000,0.25,1,15000,0.021896839141845703,1.6224725246429443
1,50000,0.25,1,20000,0.021896839141845703,2.1271512508392334
1,50000,0.25,1,25000,0.021896839141845703,2.725651741027832
1,50000,0.25,1,30000,0.021896839141845703,3.206228017807007
1,5000,0.5,1,5000,0.0017359256744384766,0.08186888694763184
1,5000,0.5,1,10000,0.0017359256744384766,0.16945648193359375
1,5000,0.5,1,15000,0.0017359256744384766,0.25235414505004883
1,5000,0.5,1,20000,0.0017359256744384766,0.32962727546691895
1,5000,0.5,1,25000,0.0017359256744384766,0.417874813079834
1,5000,0.5,1,30000,0.0017359256744384766,0.5023889541625977
1,10000,0.5,1,5000,0.003547191619873047,0.1691443920135498
1,10000,0.5,1,10000,0.003547191619873047,0.32879090309143066
