fake,index_size,pc_dims,k,pc_ret,indexing,retrieval
1,5000,0.25,1,5000,0.012221574783325195,0.7303524017333984
1,5000,0.25,1,10000,0.012221574783325195,1.455509901046753
1,5000,0.25,1,15000,0.012221574783325195,2.178941011428833
1,5000,0.25,1,20000,0.012221574783325195,2.9228579998016357
1,5000,0.25,1,25000,0.012221574783325195,3.6479368209838867
1,5000,0.25,1,30000,0.012221574783325195,4.384308099746704
1,10000,0.25,1,5000,0.026261568069458008,1.957298994064331
1,10000,0.25,1,10000,0.026261568069458008,3.883223533630371
1,10000,0.25,1,15000,0.026261568069458008,5.883630752563477
1,10000,0.25,1,20000,0.026261568069458008,7.7989654541015625
1,10000,0.25,1,25000,0.026261568069458008,9.788275718688965
1,10000,0.25,1,30000,0.026261568069458008,11.720866680145264
1,15000,0.25,1,5000,0.03897404670715332,1.763143539428711
1,15000,0.25,1,10000,0.03897404670715332,3.50942325592041
1,15000,0.25,1,15000,0.03897404670715332,5.215570449829102
1,15000,0.25,1,20000,0.03897404670715332,7.016654968261719
1,15000,0.25,1,25000,0.03897404670715332,8.738020896911621
1,15000,0.25,1,30000,0.03897404670715332,10.469814538955688
1,20000,0.25,1,5000,0.057993173599243164,2.2980377674102783
1,20000,0.25,1,10000,0.057993173599243164,4.594521522521973
1,20000,0.25,1,15000,0.057993173599243164,6.886682510375977
1,20000,0.25,1,20000,0.057993173599243164,9.21553635597229
1,20000,0.25,1,25000,0.057993173599243164,11.522689580917358
1,20000,0.25,1,30000,0.057993173599243164,13.78396224975586
1,25000,0.25,1,5000,0.07340741157531738,3.3022987842559814
1,25000,0.25,1,10000,0.07340741157531738,6.583807945251465
1,25000,0.25,1,15000,0.07340741157531738,9.879777908325195
1,25000,0.25,1,20000,0.07340741157531738,13.136469841003418
1,25000,0.25,1,25000,0.07340741157531738,16.48626685142517
1,25000,0.25,1,30000,0.07340741157531738,19.74717879295349
1,30000,0.25,1,5000,0.08741927146911621,4.93485426902771
1,30000,0.25,1,10000,0.08741927146911621,9.878480672836304
1,30000,0.25,1,15000,0.08741927146911621,14.787252187728882
1,30000,0.25,1,20000,0.08741927146911621,19.797935485839844
1,30000,0.25,1,25000,0.08741927146911621,24.806793689727783
1,30000,0.25,1,30000,0.08741927146911621,29.799437284469604
1,35000,0.25,1,5000,0.11273622512817383,4.461027383804321
1,35000,0.25,1,10000,0.11273622512817383,8.942237138748169
1,35000,0.25,1,15000,0.11273622512817383,13.403244495391846
1,35000,0.25,1,20000,0.11273622512817383,17.740453243255615
1,35000,0.25,1,25000,0.11273622512817383,22.1941978931427
1,35000,0.25,1,30000,0.11273622512817383,26.73313307762146
1,40000,0.25,1,5000,0.13134360313415527,3.823453664779663
1,40000,0.25,1,10000,0.13134360313415527,7.6695098876953125
1,40000,0.25,1,15000,0.13134360313415527,11.55219554901123
1,40000,0.25,1,20000,0.13134360313415527,15.475507259368896
1,40000,0.25,1,25000,0.13134360313415527,19.413782835006714
1,40000,0.25,1,30000,0.13134360313415527,23.114056825637817
1,45000,0.25,1,5000,0.14831876754760742,7.672315359115601
