fake,index_size,pc_dims,k,pc_ret,indexing,retrieval
1,5000,0.25,1,5000,0.0172271728515625,0.26813626289367676
1,5000,0.25,1,10000,0.0172271728515625,0.5309195518493652
1,5000,0.25,1,15000,0.0172271728515625,0.7873175144195557
1,5000,0.25,1,20000,0.0172271728515625,1.0684335231781006
1,5000,0.25,1,25000,0.0172271728515625,1.3364436626434326
1,5000,0.25,1,30000,0.0172271728515625,1.61336350440979
1,10000,0.25,1,5000,0.037090301513671875,0.6067788600921631
1,10000,0.25,1,10000,0.037090301513671875,1.197068691253662
1,10000,0.25,1,15000,0.037090301513671875,1.8082916736602783
1,10000,0.25,1,20000,0.037090301513671875,2.405165672302246
1,10000,0.25,1,25000,0.037090301513671875,2.997480869293213
1,10000,0.25,1,30000,0.037090301513671875,3.6085455417633057
1,15000,0.25,1,5000,0.05613231658935547,0.21578264236450195
1,15000,0.25,1,10000,0.05613231658935547,0.4361391067504883
1,15000,0.25,1,15000,0.05613231658935547,0.6522290706634521
1,15000,0.25,1,20000,0.05613231658935547,0.869940996170044
1,15000,0.25,1,25000,0.05613231658935547,1.076542854309082
1,15000,0.25,1,30000,0.05613231658935547,1.2916090488433838
1,20000,0.25,1,5000,0.08247995376586914,0.31404900550842285
1,20000,0.25,1,10000,0.08247995376586914,0.6254129409790039
1,20000,0.25,1,15000,0.08247995376586914,0.9387433528900146
1,20000,0.25,1,20000,0.08247995376586914,1.259655237197876
1,20000,0.25,1,25000,0.08247995376586914,1.5625500679016113
1,20000,0.25,1,30000,0.08247995376586914,1.8814291954040527
1,25000,0.25,1,5000,0.09915781021118164,5.900006055831909
1,25000,0.25,1,10000,0.09915781021118164,11.783917427062988
1,25000,0.25,1,15000,0.09915781021118164,17.669360399246216
1,25000,0.25,1,20000,0.09915781021118164,23.533376455307007
1,25000,0.25,1,25000,0.09915781021118164,29.421982049942017
1,25000,0.25,1,30000,0.09915781021118164,35.266937255859375
1,30000,0.25,1,5000,0.11977314949035645,6.878244161605835
1,30000,0.25,1,10000,0.11977314949035645,13.72069263458252
1,30000,0.25,1,15000,0.11977314949035645,20.592093229293823
1,30000,0.25,1,20000,0.11977314949035645,27.39887309074402
1,30000,0.25,1,25000,0.11977314949035645,34.2463436126709
1,30000,0.25,1,30000,0.11977314949035645,41.158427000045776
1,35000,0.25,1,5000,0.1594407558441162,2.8842735290527344
1,35000,0.25,1,10000,0.1594407558441162,5.83069372177124
1,35000,0.25,1,15000,0.1594407558441162,8.67834186553955
1,35000,0.25,1,20000,0.1594407558441162,11.588104724884033
1,35000,0.25,1,25000,0.1594407558441162,14.551767349243164
1,35000,0.25,1,30000,0.1594407558441162,17.323211908340454
1,40000,0.25,1,5000,0.18502092361450195,3.312981367111206
1,40000,0.25,1,10000,0.18502092361450195,6.621132135391235
1,40000,0.25,1,15000,0.18502092361450195,9.969475746154785
1,40000,0.25,1,20000,0.18502092361450195,13.158715724945068
1,40000,0.25,1,25000,0.18502092361450195,16.587273836135864
1,40000,0.25,1,30000,0.18502092361450195,19.919400691986084
1,45000,0.25,1,5000,0.21055841445922852,0.5238518714904785
1,45000,0.25,1,10000,0.21055841445922852,1.0239770412445068
1,45000,0.25,1,15000,0.21055841445922852,1.5512950420379639
1,45000,0.25,1,20000,0.21055841445922852,2.0921692848205566
1,45000,0.25,1,25000,0.21055841445922852,2.5987911224365234
1,45000,0.25,1,30000,0.21055841445922852,3.109541654586792
