ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Latitude;Longitude;Altitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee
07181;2021-03-27T16:00:00+01:00;102820;50.0;2;260;8.2;282.65;272.75;50;38270.0;0;;;100.0;1;1250.0;;;;98670.0;;;1030.0;;;;;276.45;;;12.1;12.5;-10.0;;;;;0.0;0.0;0.0;0.0;-0.1;;;;;1.0;;1380.0;8.0;;2160.0;;;;;;;48.581,5.959833;NANCY-OCHEY;En hausse;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;9.5;;;;;3.3000000000000114;48.581;5.959833;336;Thuilley-aux-Groseilles;54523;CC du Pays de Colombey et du Sud Toulois;245400510;Meurthe-et-Moselle;54;Grand Est;44;3
07181;2021-03-29T02:00:00+02:00;103190;30.0;1;190;3.5;281.65;273.65;57;60000.0;0;;;100.0;8;5580.0;;;;99010.0;;;100.0;;;;;275.75;;;4.4;5.8;-10.0;;;;;0.0;0.0;0.0;0.0;0.0;;;;;8.0;;5580.0;;;;;;;;;;48.581,5.959833;NANCY-OCHEY;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;8.5;;;;;2.6000000000000227;48.581;5.959833;336;Thuilley-aux-Groseilles;54523;CC du Pays de Colombey et du Sud Toulois;245400510;Meurthe-et-Moselle;54;Grand Est;44;3
07181;2021-03-29T08:00:00+02:00;103280;80.0;2;180;2.8;280.15;273.35;62;51450.0;0;;;;0;;;;;99080.0;;;160.0;277.45;;285.65;;273.35;;;3.4;3.4;-10.0;;;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.581,5.959833;NANCY-OCHEY;En hausse;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;7.0;4.300000000000011;;12.5;;0.20000000000004547;48.581;5.959833;336;Thuilley-aux-Groseilles;54523;CC du Pays de Colombey et du Sud Toulois;245400510;Meurthe-et-Moselle;54;Grand Est;44;3
07181;2021-04-01T14:00:00+02:00;101840;-90.0;7;300;2.7;295.85;276.35;28;19700.0;0;;;;0;;;;;97910.0;;;-330.0;;;;;277.75;;;4.3;6.5;-10.0;;;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.581,5.959833;NANCY-OCHEY;En baisse;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;22.700000000000045;;;;;4.600000000000023;48.581;5.959833;336;Thuilley-aux-Groseilles;54523;CC du Pays de Colombey et du Sud Toulois;245400510;Meurthe-et-Moselle;54;Grand Est;44;4
07181;2021-05-16T20:00:00+02:00;100360;30.0;3;230;5.4;284.65;282.55;87;60000.0;0;;;;5;800.0;;;;96350.0;;;-180.0;282.65;;289.55;;283.25;;;6.9;7.9;-10.0;;;;;0.0;3.2;3.6;3.6;9.3;;;;;4.0;;810.0;5.0;;1050.0;;9;;;;;48.581,5.959833;NANCY-OCHEY;En baisse ou stationnaire, puis en hausse, ou en hausse, puis en hausse plus rapide;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;11.5;9.5;;16.400000000000034;;10.100000000000023;48.581;5.959833;336;Thuilley-aux-Groseilles;54523;CC du Pays de Colombey et du Sud Toulois;245400510;Meurthe-et-Moselle;54;Grand Est;44;5
07181;2021-05-27T11:00:00+02:00;102060;60.0;1;260;4.0;285.85;279.65;66;43790.0;0;;;75.0;6;800.0;;;;97990.0;;;520.0;;;;;280.85;;;6.3;8.9;-10.0;;;;;0.0;0.0;0.0;0.0;2.4;;;;;4.0;;720.0;5.0;;930.0;5.0;;1140.0;;;;48.581,5.959833;NANCY-OCHEY;En hausse, puis stationnaire, ou en hausse, puis en hausse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;12.700000000000045;;;;;7.7000000000000455;48.581;5.959833;336;Thuilley-aux-Groseilles;54523;CC du Pays de Colombey et du Sud Toulois;245400510;Meurthe-et-Moselle;54;Grand Est;44;5
07181;2021-06-01T17:00:00+02:00;101200;-110.0;6;80;4.8;297.75;282.05;37;28900.0;0;;;;0;;;;;97330.0;;;-490.0;;;;;276.05;;;8.6;8.8;-10.0;;;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;48.581,5.959833;NANCY-OCHEY;En baisse, puis stationnaire, ou en baisse, puis en baisse plus lente;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;24.600000000000023;;;;;2.900000000000034;48.581;5.959833;336;Thuilley-aux-Groseilles;54523;CC du Pays de Colombey et du Sud Toulois;245400510;Meurthe-et-Moselle;54;Grand Est;44;6
07181;2021-06-05T17:00:00+02:00;102290;30.0;2;280;4.5;288.45;286.95;91;19910.0;0;;;100.0;8;450.0;;;;98260.0;;;350.0;;;;;289.35;;;6.4;7.4;-10.0;;;;;0.0;-0.1;1.4;3.6;9.5;;;;;7.0;;300.0;8.0;;420.0;;;;;;;48.581,5.959833;NANCY-OCHEY;En hausse;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;15.300000000000011;;;;;16.200000000000045;48.581;5.959833;336;Thuilley-aux-Groseilles;54523;CC du Pays de Colombey et du Sud Toulois;245400510;Meurthe-et-Moselle;54;Grand Est;44;6
07181;2021-06-07T08:00:00+02:00;102220;-10.0;5;10;2.1;287.45;286.35;93;7800.0;0;;;100.0;3;800.0;;;;98180.0;;;-80.0;285.05;;288.45;;282.25;;;3.5;3.5;-10.0;;;;;0.0;0.0;0.0;0.0;0.0;;;;;3.0;;630.0;8.0;;1740.0;;;;;;;48.581,5.959833;NANCY-OCHEY;En baisse, puis en hausse, la pression atmosphérique est la même ou plus basse que trois heures auparavant;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;14.300000000000011;11.900000000000034;;15.300000000000011;;9.100000000000023;48.581;5.959833;336;Thuilley-aux-Groseilles;54523;CC du Pays de Colombey et du Sud Toulois;245400510;Meurthe-et-Moselle;54;Grand Est;44;6
07181;2021-06-07T23:00:00+02:00;102200;60.0;2;20;1.7;290.05;287.35;84;16150.0;0;;;100.0;2;800.0;;;;98200.0;;;-70.0;;;;;289.05;;;2.2;3.0;-10.0;;;;;0.0;0.0;-0.1;-0.1;-0.1;;;;;2.0;;960.0;8.0;;2280.0;;;;;;;48.581,5.959833;NANCY-OCHEY;En hausse;;On n’a pas observé d’évolution des nuages ou on n’a pas pu suivre cette évolution;16.900000000000034;;;;;15.900000000000034;48.581;5.959833;336;Thuilley-aux-Groseilles;54523;CC du Pays de Colombey et du Sud Toulois;245400510;Meurthe-et-Moselle;54;Grand Est;44;6
