Structure,Material,nbP,volume,mass,TC,density,lowest_valence,highest_valence,lowest_pediod,highest_pediod,lowest_group,highest_group,lowest_elMass,highest_elMass,lowest_nbneutrons,highest_nbneutrons,lowest_nbprotons,highest_nbprotons,lowest_nbelectrons,highest_nbelectrons,lowest_nbshells,highest_nbshells,lowest_electronegativity,highest_electronegativity,Ag,Al,As,B,Ba,Be,Br,C,Ca,Cd,Cl,Cs,Cu,F,Ga,H,I,In,K,Li,Mg,N,Na,O,P,Pb,Rb,S,Sb,Se,Si,Sr,Te,Zn
rocksalt,HK,8.0,22.335585360270024,160.42496,10.809415276413256,1.490365202570969,1.0,1.0,1.0,4.0,1.0,1.0,1.007,39.098,0.0,20.0,1.0,19.0,1.0,19.0,1.0,4.0,0.82,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rocksalt,IK,8.0,43.709832588817676,664.01108,2.095276061847134,3.1522037706282355,1.0,7.0,4.0,5.0,1.0,17.0,39.098,126.904,20.0,74.0,19.0,53.0,19.0,53.0,4.0,5.0,0.82,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rocksalt,BrLi,8.0,19.792631684376147,347.38,2.8543014030268825,3.6418274815318967,1.0,7.0,2.0,4.0,1.0,17.0,6.941,79.904,4.0,45.0,3.0,35.0,3.0,35.0,2.0,4.0,1.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rocksalt,ClLi,8.0,16.20221182507886,169.57600000000002,4.820913008186313,2.171741758463817,1.0,7.0,2.0,3.0,1.0,17.0,6.941,35.453,4.0,18.0,3.0,17.0,3.0,17.0,2.0,3.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rocksalt,FLi,8.0,8.017735389632804,103.757612,16.533653090291597,2.6852600446054407,1.0,7.0,2.0,2.0,1.0,17.0,6.941,18.998,4.0,10.0,3.0,9.0,3.0,9.0,2.0,2.0,1.0,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rocksalt,HLi,8.0,7.803831260502716,31.79576,40.228930506837536,0.8454334774500222,1.0,1.0,1.0,2.0,1.0,1.0,1.007,6.941,0.0,4.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rocksalt,ILi,8.0,25.707977617351514,535.38188,2.106651824046763,4.321294415046442,1.0,7.0,2.0,5.0,1.0,17.0,6.941,126.904,4.0,74.0,3.0,53.0,3.0,53.0,2.0,5.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rocksalt,MgO,8.0,9.378765093184974,161.2176,66.06932152405832,3.566850397426862,2.0,6.0,2.0,3.0,2.0,16.0,15.999,24.305,8.0,12.0,8.0,12.0,8.0,12.0,2.0,3.0,1.0,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
rocksalt,BrNa,8.0,26.076681228425574,411.575076,2.904536884483077,3.2750267383299336,1.0,7.0,3.0,4.0,1.0,17.0,22.99,79.904,12.0,45.0,11.0,35.0,11.0,35.0,3.0,4.0,1.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
rocksalt,ClNa,8.0,21.990683430366367,233.771076,7.95828288351462,2.2058204067917804,1.0,7.0,3.0,3.0,1.0,17.0,22.99,35.453,12.0,18.0,11.0,17.0,11.0,17.0,3.0,3.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
rocksalt,FNa,8.0,12.390625393107538,167.952688,24.508893457866503,2.8126250011065554,1.0,7.0,2.0,3.0,1.0,17.0,18.998,22.99,10.0,12.0,9.0,11.0,9.0,11.0,2.0,3.0,1.0,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
rocksalt,HNa,8.0,13.748819915538226,95.990836,16.683299345278375,1.4487133144779625,1.0,1.0,1.0,3.0,1.0,1.0,1.007,22.99,0.0,12.0,1.0,11.0,1.0,11.0,1.0,3.0,1.0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
rocksalt,INa,8.0,32.88921661826082,599.576956,2.134234802032447,3.78276624262688,1.0,7.0,3.0,5.0,1.0,17.0,22.99,126.904,12.0,74.0,11.0,53.0,11.0,53.0,3.0,5.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
rocksalt,PbS,8.0,25.62439310517192,957.06,2.0277599863023776,7.750035256831798,4.0,6.0,3.0,6.0,14.0,16.0,32.065,207.2,16.0,125.0,16.0,82.0,16.0,82.0,3.0,6.0,2.0,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
rocksalt,PbSe,8.0,28.36314325659,1144.64,2.235803693459575,8.3739943013832,4.0,6.0,4.0,6.0,14.0,16.0,78.96,207.2,45.0,125.0,34.0,82.0,34.0,82.0,4.0,6.0,2.0,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
