,sort-name,name,gender,genre,disambiguation,country,start-date
0,"Boum Bomo's, Les",Les Boum Bomo's,,,French parodic punk band,,
1,"Aweduti, Romain",Romain Aweduti,,,,,
2,1st Round,1st Round,,,,,
3,Fractal Universe,Fractal Universe,,death metal,,,2013.0
4,Fuzzphorus,Fuzzphorus,,desert rock,,,2011.0
5,Eluun,Eluun,,,Electronic producer,,
6,FAAAL,FAAAL,,,French noise band,,
7,Coeur Bavard,Coeur Bavard,,,French pop band,,2020.0
8,"Gadaut, Géraldine",Géraldine Gadaut,Female,,,,1985.0
9,"Belyzel, Najoua",Najoua Belyzel,Female,,,FR,1981.0
10,Evergreen Terrasse,Evergreen Terrasse,,,,,
11,Cotchei,Cotchei,Male,,,,
12,"Fallot, Guy",Guy Fallot,Male,,cellist,FR,1927.0
13,"Dalmorès, Charles",Charles Dalmorès,Male,,french tenor,FR,1871.0
14,Gauthier Louis,Gauthier Louis,Male,,Lead guitarist in Hart Plant,,1997.0
15,"Bernard, Marie-Hélène",Marie-Hélène Bernard,Female,,,FR,1953.0
16,FunkyDeps,FunkyDeps,Male,,"French DJ, aka Cédric Funkydeps",,
17,"Éliane, Pierre",Pierre Éliane,Male,,,FR,1955.0
18,"Blaising, Alban",Alban Blaising,Male,,,,
19,"Callot, Jacques",Jacques Callot,Male,,,FR,1592.0
20,"Fédrizzi, Michel",Michel Fédrizzi,,,,,
21,"Antoine, Bernadette",Bernadette Antoine,Female,,French soprano,FR,1940.0
22,Charles the Bold,Charles the Bold,Male,,,FR,1433.0
23,Burning Amps,Burning Amps,,,,,
24,DeadMen,DeadMen,,,French Post-Hardcore Band,,2014.0
25,"Baudiot, Charles",Charles Baudiot,Male,,,FR,1773.0
26,"Couture, Charlélie",Charlélie Couture,Male,,,FR,1956.0
27,Blurry Eyes,Blurry Eyes,,,"Alternative Rock from Nancy, France",,2020.0
28,Deejay H,Deejay H,Male,,,,
29,"Fallot, Monique",Monique Fallot,Female,,,FR,1926.0
30,Aion,Aion,,coldwave,French band,FR,1990.0
31,"Boufflers, Stanislas de",Stanislas de Boufflers,Male,,,FR,1738.0
32,Antoine HLT,Antoine HLT,Male,,,,1989.0
33,Etage 34,Etage 34,,,,FR,1994.0
34,Disfuneral,Disfuneral,,death metal,French Death Metal,FR,2015.0
35,Fast Music Means Love,Fast Music Means Love,,,,,
36,Depraved,Depraved,,,French brutal death metal/grindcore,,1992.0
37,"Cherrier, Sophie",Sophie Cherrier,Female,,French flutist,FR,1959.0
38,"Gigout, Eugène",Eugène Gigout,Male,,,FR,1844.0
39,"Cahen, Laura",Laura Cahen,Female,pop,,FR,1990.0
40,"Denni, Lucien",Lucien Denni,Male,,film score composer,,1886.0
41,"Chepfer, George",George Chepfer,Male,,,FR,1870.0
42,Dusk of Delusion,Dusk of Delusion,,,,,2016.0
43,"Charlot, Joseph",Joseph Charlot,Male,,,FR,1827.0
44,"Aberdam, Elaine",Elaine Aberdam,Female,,,,
45,BVDK,BVDK,,,,,2016.0
46,Deinos Mastema,Deinos Mastema,,,,,
47,"Bertrand, Alexandre ""Goulec""","Alexandre ""Goulec"" Bertrand",Male,,,,
48,Bael,Bael,,,French Black Metal,FR,1998.0
49,"Bruni, Ana",Ana Bruni,Female,,Vocals in Hart Plant,FR,1997.0
50,Anémochorie,Anémochorie,Male,,,,
51,Drain Pump Booster,Drain Pump Booster,,,,,
52,"Condé, Gérard",Gérard Condé,Male,,,FR,1947.0
53,"Denni, Stéphane",Stéphane Denni,,,,,
54,"Coudret, Sylvain",Sylvain Coudret,Male,,,,
55,"Barbulée, Jeannine",Jeannine Barbulée,Female,,,FR,1912.0
56,"Dents de la Meurthe, Les",Les Dents de la Meurthe,,,,,
57,Frekkr,Frekkr,,,,,2005.0
58,"Benoit, Dom Paul",Dom Paul Benoit,Male,,,FR,1893.0
59,DOMi,DOMi,Female,jazz fusion,"French Keyboardist, Composer & Producer, now from Boston",,2000.0
60,Corrupted Light,Corrupted Light,,,French Power Electronics/Harsh Noise Project,,2016.0
61,Bud Spencer,Bud Spencer,,,sludge progressist from France,,2007.0
62,"Canck, Philippe de",Philippe de Canck,Male,,,FR,1955.0
63,Acintya,Acintya,,,French progressive rock band,,
64,"Delhotal, Alain",Alain Delhotal,Male,,,FR,1955.0
65,"Amis d'ta femme, Les",Les Amis d'ta femme,,punk,,FR,1996.0
66,"Bachelet, Alfred",Alfred Bachelet,Male,,,FR,1864.0
67,"Anthony, Jérôme",Jérôme Anthony,Male,,,FR,1968.0
68,Florimond Hugo,Hugo Florimond,Male,,,,
69,"Dusapin, Pascal",Pascal Dusapin,Male,,French composer,FR,1955.0
70,"Chartreux, Annick",Annick Chartreux,Female,,,FR,1942.0
