,sort-name,name,gender,genre,disambiguation,country,start-date
71,"Ducouloux, Didier",Didier Ducouloux,Male,,,,
72,Aekhlorią,Aekhlorią,Male,,"Valentin Laure, extratone",,
73,"Bridet, Antoine",Antoine Bridet,Male,,,,
74,AKTHESIS,AKTHESIS,,death metal,,,2013.0
75,"François, Jocelyne",Jocelyne François,Female,,,FR,1933.0
76,"Flageollet, William",William Flageollet,Male,,,FR,1945.0
77,"Arlot, Antoine",Antoine Arlot,,,,,
78,"Adam, Nicolas-Sébastien",Nicolas-Sébastien Adam,Male,,,FR,1705.0
79,Expect Anything,Expect Anything,,,,FR,2008.0
80,"Garaudé, Alexis de",Alexis de Garaudé,Male,,,FR,1779.0
81,Aud,Aud,,,,,
82,Dead Stereo Boots,Dead Stereo Boots,,,"Rock garage band from Nancy, France",,2012.0
83,"Alexy, Cyril",Cyril Alexy,Male,,chanson/ballad,FR,
84,"Chenevez, Daniel",Daniel Chenevez,Male,,,FR,1959.0
85,"Allemane, Benoît",Benoît Allemane,Male,,,FR,1934.0
86,"Debroux, Joseph",Joseph Debroux,Male,,"Belgian violinist, composer and teacher",FR,1866.0
87,Bahrrecht,Bahrrecht,,,,,2001.0
88,Caldera,Caldera,,,Stoner/Traditional Doom Metal,,2001.0
89,Chernabogue,Chernabogue,Male,,video game arranger Alexandre Mourey,,1991.0
90,Feu Follet,Feu Follet,,dark wave,"synthwave project from Nancy, France (Alban Blaising)",,
91,Dirty Work of Soul Brothers,Dirty Work of Soul Brothers,,,,,
92,AYYA,!AYYA!,,,,,
93,"Bizot, Jean",Jean Bizot,Male,,organist,,
94,"Djokic, Philippe",Philippe Djokic,Male,,,CA,1950.0
95,Elvaron,Elvaron,,,Frensh Progressive Thrash,,
96,Dirty Sluts,Dirty Sluts,,,"Hardcore band from Nancy, France",,
97,"Descharmes, Romain",Romain Descharmes,Male,,,FR,1980.0
98,"Berthon, Jean-Claude",Jean-Claude Berthon,Male,,,FR,1942.0
99,"Denys, Clément",Clément Denys,Male,,,,
0,Readymade FC,Readymade FC,Male,,French techno/downtempo producer Jean-Philippe Verdin,,1966.0
1,Spatsz,Spatsz,Male,,,,1957.0
2,Machine Gun Kelly,Machine Gun Kelly,,,French band,,
3,KaS Product,KaS Product,,coldwave,,,1980.0
4,"Maugüé, Jules-Marie Laure",Jules-Marie Laure Maugüé,Male,,,FR,1869.0
5,Mortuary,Mortuary,,death metal,French death metal,,1988.0
6,SU,SU,,,French Hardcore noise,,
7,Growls,Growls,,,French Grindcore Band,,2014.0
8,Show Me Your Tits,Show Me Your Tits,,,,FR,2017.0
9,Logruss,Logruss,,,French avant-garde/progressive metal band,,2005.0
10,"Slit Plasters, The",The Slit Plasters,,,,,
11,Maurel,Maurel,Male,,,FR,
12,Minera,Minera,,flamenco,"flamenco/latin jazz band based in Nancy, France",,
13,"Lucasse, Gérard",Gérard Lucasse,Male,,,FR,1939.0
14,"Lasson, Mathieu",Mathieu Lasson,Male,,,FR,
15,No Milk,No Milk,,,French punk rock band,,1994.0
16,My Perfect Body,My Perfect Body,,,"Indie rock from Nancy, France.",,
17,"Labey, Marcel",Marcel Labey,Male,contemporary classical,,,1875.0
18,Lefuneste,Lefuneste,Male,,"Experimental hip-hop from Nancy, France",,
19,Lying Figures,Lying Figures,,,,,2008.0
20,Hart Plant,Hart Plant,,,,,2015.0
21,"Marchal, Julien",Julien Marchal,Male,,,,1985.0
22,"Malchiodi, Antonin",Antonin Malchiodi,Male,,,,
23,"Gooyatsh, Eddy (la)",Eddy (la) Gooyatsh,Male,,,FR,1974.0
24,"Mourot, Jean-René",Jean-René Mourot,Male,,,FR,1986.0
25,Richard Durn,Richard Durn,,,french anarchopunk band,,
26,"Tapas, Vled",Vled Tapas,Male,,,,1988.0
27,"Paquotte, Arnaud",Arnaud Paquotte,Male,,French bassist,BE,1974.0
28,Günther,Günther,Male,,Pianist and production in ËLLE,,1997.0
29,Infected Pussy & the Precoce Boys,Infected Pussy & the Precoce Boys,,,"Punk band from Nancy, France",,
30,KiCkS,KiCkS,Male,,"French house DJ/production, Cracki Records associated",,
31,Merde,Merde,,,"Punk rock band from Nancy, France",,
32,"Koss, Mathieu",Mathieu Koss,Male,,Pop / House DJ & producer based in Southern France,FR,1990.0
33,"Nurdin, William",William Nurdin,,experimental,,,
34,P.O.BOX,P.O.BOX,,,French punk band,FR,2001.0
35,"Ott, Christian",Christian Ott,Male,,French organist,FR,1968.0
36,"Pelletier, Valentin",Valentin Pelletier,Male,,,,
37,MeLL,MeLL,Female,,French female singer,,1982.0
38,Kalkanos,Kalkanos,,,French punk and reggae band,FR,2015.0
39,"Rolland, Claude",Claude Rolland,Male,,French composer & pianist,,1921.0
40,"Hoffmann, François Benoît",François Benoît Hoffmann,Male,,,FR,1760.0
41,Shaïd,Shaïd,,,"Grind/crust band from Nancy, France",,
42,Pessimists,Pessimists,,,French hc punk,,
43,"Jacquot, Albert",Albert Jacquot,Male,,,FR,1853.0
44,"Juarez, Charlène",Charlène Juarez,Female,,,,1983.0
45,Synopsis,Synopsis,,,French Progressive Rock,,
46,NKT,NKT,,,"Hardcore band from Nancy, France",,
47,"Hekking, Gérard",Gérard Hekking,Male,classical,,FR,1879.0
48,Gu Guai Xing Qiu,Gu Guai Xing Qiu,,,,,
49,Soul Funk Factory,Soul Funk Factory,,,Nancy,,
50,Reviens,Reviens,,,,,
51,"Krausener, Claire",Claire Krausener,Female,,,DE,
52,Hoikam,Hoikam,Male,,"Francis Loubry, techno hardcore",,
53,KIK,KIK,Male,,French rapper,FR,1993.0
54,"Rebotini, Arnaud",Arnaud Rebotini,Male,,,FR,1970.0
55,"Kaiser, Henri",Henri Kaiser,Male,,,FR,1861.0
56,"Sauvage, Catherine",Catherine Sauvage,Female,,,FR,1929.0
57,"Noël, Charles-Nicolas",Charles-Nicolas Noël,Male,,painter,FR,1728.0
58,"Muller, Louis",Louis Muller,Male,,Rythmic guitarist in Hart Plant,FR,1997.0
59,"Grisvard, Philippe",Philippe Grisvard,Male,,,FR,1980.0
60,Mary X,Mary X,,,french post-rock,,
61,"Pollain, René",René Pollain,Male,,,,1882.0
62,Marie,Marie,Female,,"French singer, ESC 1973 for Monaco",MC,1949.0
63,Nuit Acide,Nuit Acide,,,,,2019.0
64,Taxi Kebab,Taxi Kebab,,electronic,,FR,
65,"Houdelot, Robert",Robert Houdelot,Male,,,FR,1912.0
66,Hypno Rebetiko,Hypno Rebetiko,Male,,,,
67,"Jack, Claire Chookie",Claire Chookie Jack,Female,,,,
68,"Silence, Forget The",Forget The Silence,,,,,2008.0
69,Souf,Souf,Male,chanson française,,FR,1990.0
70,Sérendipithèque,Sérendipithèque,,,French punk rock band,,2016.0
71,Sunhiausa,Sunhiausa,Male,,"Valentin Laure, speedcore",,
72,"Schaeffer, Pierre",Pierre Schaeffer,Male,avant-garde,French musique concrète composer,FR,1910.0
73,"Lipkins, Jerry",Jerry Lipkins,Male,,,FR,1957.0
74,"Kircher, Jérôme",Jérôme Kircher,Male,,,FR,1964.0
75,Pantois,Pantois,,,,,2014.0
76,Orchestre symphonique et lyrique de Nancy,Orchestre symphonique et lyrique de Nancy,,,,,1884.0
77,Jham,Jham,,,,FR,2017.0
78,gmö,gmö,Male,ambient,cinematic rock,,1980.0
79,Lorelei,Lorelei,,,French punk band,FR,2013.0
80,SolusMind,SolusMind,,,,,
81,"Haas, Werner",Werner Haas,Male,classical,"classical pianist, NOT the 50s schlager singer Werner Hass",DE,1931.0
82,"Nouveau Détective, Le",Le Nouveau Détective,,,Punk,,
83,"Heyms, Jérémie",Jérémie Heyms,Male,,,,1983.0
84,LSVB,LSVB,,coldwave,"Electro-Industrial / Synthpop project of Laurent ""Bart"" Steiner",,1992.0
85,"Parisot, Jean",Jean Parisot,Male,,French organist/composer,FR,1861.0
86,Grand Camino,Grand Camino,,alternative pop,French folk rock / dream pop band,,
87,"Grandville, Jean Ignace Isidore Gérard",Jean Ignace Isidore Gérard Grandville,Male,,,FR,1803.0
88,Oli de Sat,Oli de Sat,Male,new wave,,FR,1973.0
89,Necroscum,Necroscum,,death metal,,,2019.0
90,IPPON,IPPON,,,,,
91,"Squares, The",The Squares,,,"Rhythm n blues garage punk band from Nancy, France formed in the early 90's and splitted in 1995.",FR,
92,"Mourey, Alexandre",Alexandre Mourey,Male,,,,1991.0
93,Streets of Rage,Streets of Rage,,,"Oi! band from Nancy, France",FR,2009.0
94,"Lorenziti, Joseph-Antoine",Joseph-Antoine Lorenziti,Male,,,IT,1740.0
95,"Ledroit, Henri",Henri Ledroit,Male,,countertenor,FR,1946.0
96,"Keller, Charles",Charles Keller,Male,,dit Jacques Turbin,FR,1843.0
97,"N'Furter, Rodger",Rodger N'Furter,Male,,,,
98,Karne,Karne,,black metal,French black metal,FR,2011.0
99,mue,[mμe],,,,,
0,"Vairelles, Tony",Tony Vairelles,Male,,,FR,1973.0
1,Zhurgal Dukhiatz,Zhurgal Dukhiatz,,,,,2003.0
2,"Vernillat, France",France Vernillat,Female,,,FR,1912.0
3,Zend Avesta,Zend Avesta,Male,,,FR,1970.0
4,Voraphilya,Voraphilya,,,,,
5,Who's The Cuban?,¿Who's The Cuban?,,,,,
6,Tequila Savate y su Hijo Bastardo,Tequila Savate y su Hijo Bastardo,,,,,
7,Untamed,Untamed,,,French grindcore,,1997.0
8,Utopic Sporadic Orchestra,Utopic Sporadic Orchestra,,,,FR,1975.0
9,"Wandji, Manuel",Manuel Wandji,Male,,,,1961.0
10,Warfaith,Warfaith,,,,,2012.0
11,Tolstoi,Tolstoi,,,Nancy,,
12,Tequila Savate,Tequila Savate,Male,,,,
13,"Valence, Pierrick",Pierrick Valence,Male,,,,1982.0
14,"Winged Seahorses, The",The Winged Seahorses,,,,,2011.0
15,Tonton David,Tonton David,Male,reggae,French reggae singer,FR,1967.0
16,VFO89,VFO89,Male,,"French-born, Brussels based techno DJ & producer",,
17,"Zuccaro, Olivier",Olivier Zuccaro,Male,,,,1980.0
18,"Vincent, David, et ses mutants",David Vincent et ses mutants,,rock,French alternative rock band from Nancy,FR,2005.0
19,Wheelfall,Wheelfall,,industrial metal,"French stoner rock band, based in Nancy",FR,2010.0
20,Uhm Katam,Uhm Katam,,,Nancy,,
